paffect,authcity,natcond
4.833333333,5.583333333,1
3.444444444,4.5,1
3.611111111,4.166666667,1
4,4.666666667,1
3.333333333,5.583333333,1
3.333333333,5.083333333,1
2.5,1.833333333,1
3.722222222,3.916666667,1
4.166666667,4.5,1
3.777777778,4.333333333,1
4.166666667,2.333333333,1
3.444444444,4.5,1
3.611111111,4.5,1
3.833333333,4.416666667,1
4.555555556,5.75,1
3.722222222,4.5,1
4,3.333333333,1
4.555555556,5.75,1
3.777777778,3.583333333,1
3.444444444,4.416666667,1
4.333333333,4.166666667,0
4.444444444,5.166666667,0
2.722222222,3,0
2.277777778,3.416666667,0
3.444444444,4.083333333,0
2.277777778,5.916666667,0
4.166666667,4.333333333,0
4.111111111,3.583333333,0
3.666666667,6.416666667,0
3,4,0
3.611111111,4.333333333,0
3.166666667,3.666666667,0
3.388888889,2.583333333,0
3.888888889,4.916666667,0
3.166666667,2.833333333,0
4.166666667,4.583333333,0
3.388888889,4.416666667,0
2.833333333,3.25,0
3.444444444,3.583333333,0
4,4.25,0
3.388888889,3.416666667,0
3.166666667,3.916666667,0
3.111111111,4.916666667,0
4.277777778,5.916666667,0
3.111111111,4.5,0
3.722222222,5.333333333,0
2.888888889,3.166666667,0
3.666666667,3,0
3.444444444,3.916666667,0
4,4.833333333,0
2,3.25,0
3.888888889,4.75,0
3.111111111,4.916666667,0
3.333333333,4.583333333,0
3,4.333333333,0
3,3.75,0
3,4.5,0
3.277777778,5.083333333,0
4.111111111,3.416666667,0
2.444444444,2.916666667,0
3.944444444,4.75,0
4.055555556,5.25,0
3.166666667,5.333333333,0
3.277777778,4.916666667,0
4.277777778,4.916666667,0
3.388888889,4.416666667,0
2.444444444,3.75,0
3.666666667,5.75,0
3,6,0
3,4.5,0
2.722222222,4.333333333,0
3.833333333,4.75,0
2.777777778,3.583333333,0
3.5,4.333333333,0
3.666666667,4.583333333,0
3.722222222,5.333333333,0
2.555555556,4.416666667,0
4.055555556,6.5,0
3.055555556,5.25,0
3.277777778,3.75,0
3.611111111,6.5,0
3.611111111,5.416666667,0
3.388888889,5.333333333,0
3.611111111,4.75,0
3.5,4.083333333,0
4,5.75,0
3.944444444,3,0
4.444444444,4,0
4.055555556,3.416666667,0
4,5.333333333,0
4.166666667,3.75,0
3.5,5.666666667,0
4.055555556,4.75,0
2.888888889,5.166666667,0
3,3.833333333,0
3.611111111,3.75,0
3,4,0
1,4.25,0
3.277777778,3,0
3.777777778,5.333333333,0
4.333333333,4.916666667,0
3.944444444,5,0
2.611111111,3.333333333,0
3.722222222,4.083333333,0
4.722222222,6.166666667,0
3.5,3.583333333,0
4.277777778,5.333333333,1
3.111111111,4.25,1
4,3.5,1
3.055555556,4.416666667,1
3.055555556,4,1
4.166666667,5.916666667,1
3.222222222,3.166666667,1
4.5,4.083333333,1
3.722222222,4.416666667,1
4.388888889,5.5,1
4.111111111,5,1
3.333333333,5.916666667,1
4.222222222,5.583333333,1
3.5,5.583333333,1
3.166666667,5.666666667,1
3.277777778,4.75,1
3.666666667,5.583333333,1
3.944444444,5.166666667,1
3.944444444,5.166666667,1
4.388888889,5.416666667,1
4.222222222,6.5,1
4,5.333333333,1
4.388888889,4.916666667,1
4.055555556,4.166666667,1
2.944444444,3.916666667,1
3.888888889,3.75,1
3.222222222,5.166666667,1
4.277777778,4.916666667,1
4.055555556,5.333333333,1
3.666666667,3.833333333,1
3.722222222,5.333333333,1
4.222222222,4,1
3.444444444,4,1
4.111111111,4.416666667,1
3.888888889,3.75,1
4.111111111,3.833333333,1
3.777777778,4.833333333,1
3.277777778,4.666666667,1
3,4.916666667,1
3.666666667,5.666666667,1
4.166666667,5,1
5,5.166666667,1
3.5,5.5,1
3.555555556,4.583333333,1
2.611111111,3.583333333,1
3,4.416666667,1
3.666666667,4.5,1
3.555555556,6.5,1
2.888888889,4.666666667,1
3,5,1
4.388888889,4.416666667,1
2.5,4.666666667,1
4.111111111,5,1
4.055555556,5.333333333,1
3,4.333333333,1
4.722222222,5,1
3.722222222,4.166666667,1
3.444444444,5.916666667,1
4.555555556,5.083333333,1
4.333333333,5.333333333,1
4.611111111,6.083333333,1
3.888888889,5.25,1
4,4.75,1
3.777777778,5.166666667,1
2.944444444,3.583333333,1
