pes,sobbs,pacs,spa
1.8,2.285714286,2.4,2.5
1.8,2.928571429,3.4,2.6
1.6,2.714285714,3.8,3.3
1.4,1.5,1.6,2
1.6,2.928571429,3.6,2.7
1.8,2.928571429,4,2.7
1.6,2.714285714,2.6,2.3
2,2.142857143,2.8,2.3
1.6,2.857142857,3.6,2.5
1.8,1.428571429,3,2
1.8,2.714285714,3.8,2.7
2.2,3.142857143,3,2.7
3.8,2.571428571,4.6,2.9
1.8,2.428571429,2.6,2.6
1.8,1.5,2.4,2.5
1.8,1.928571429,2.6,2.3
3,2.428571429,3,2.3
1.8,2.071428571,3.2,2.4
1,1.571428571,2.6,1.6
1.8,2.285714286,3.4,2.4
1,1.714285714,1.4,2.2
2.2,2.857142857,3.4,2.8
1.8,2.857142857,3,2.4
1.8,1.857142857,1.8,1.9
2.4,2.642857143,3,2.7
3,2.428571429,4,2.6
2.2,3.071428571,3.8,3.3
1.6,1.214285714,2.6,2
1.6,1,1.6,1.5
1.8,1.857142857,3,2.3
4.2,3.928571429,3.4,2.9
1.8,3.571428571,4.4,2.9
3,3.5,3.6,2.7
1.4,2.642857143,2.6,2.4
1,1.714285714,3.6,2.2
3,2,2.2,2
1.8,2.5,3.6,2.8
1.8,2.642857143,3.6,3.4
1.8,2.928571429,3.4,2.5
1.6,1.714285714,2,2.2
3,3,3,2.5
2.2,2.857142857,4.2,2.8
1.6,1.571428571,2.2,2.3
1.8,2.285714286,4,2.2
2.2,2.5,2.8,2.2
2.2,2.785714286,3.2,2.9
1.6,2.428571429,3.2,2.2
1.4,3.142857143,3.2,2.6
2.4,2,3,2.7
1.6,1.642857143,2.4,2
1,3.714285714,4,2.5
2.2,2.428571429,2.6,2.5
1.4,2.785714286,2.2,2.5
1,1,1,1.9
1.4,1.857142857,3.2,2.5
2.8,1.857142857,2.8,2.3
2,1.5,2.4,2.3
2,1.214285714,1.8,2.2
1.6,2.857142857,3.2,2.6
1.8,2.285714286,3,2
